alias,alias_normalized,canonical_country_region,ip_zone,match_note,demand_region_cn,demand_region_code,demand_rate_cny_per_kg,demand_minimum_cny,demand_review_status
United States - Other Areas (美国其他地区),united states - other areas (美国其他地区),美国其他地区,2,Dropdown display label,美国和波多黎各,US_PR,0.0,1.8,OK
United States - Western Region (美国西部),united states - western region (美国西部),U.S. (Western Region) 美国西部,1,Dropdown display label,美国和波多黎各,US_PR,0.0,1.8,OK
USA,usa,美国其他地区,2,Manual default: non-western US unless ZIP/state specifies western region,美国和波多黎各,US_PR,0.0,1.8,OK
US,us,美国其他地区,2,Manual default: non-western US unless ZIP/state specifies western region,美国和波多黎各,US_PR,0.0,1.8,OK
U.S.,u.s.,美国其他地区,2,Manual default: non-western US unless ZIP/state specifies western region,美国和波多黎各,US_PR,0.0,1.8,OK
United States,united states,美国其他地区,2,Manual default: non-western US unless ZIP/state specifies western region,美国和波多黎各,US_PR,0.0,1.8,OK
United States of America,united states of america,美国其他地区,2,Manual default: non-western US unless ZIP/state specifies western region,美国和波多黎各,US_PR,0.0,1.8,OK
America,america,美国其他地区,2,Manual default: non-western US unless ZIP/state specifies western region,美国和波多黎各,US_PR,0.0,1.8,OK
美国,美国,美国其他地区,2,Manual default: non-western US unless ZIP/state specifies western region,美国和波多黎各,US_PR,0.0,1.8,OK
美国其他地区,美国其他地区,美国其他地区,2,PDF page 24,美国和波多黎各,US_PR,0.0,1.8,OK
U.S. Western Region,u.s. western region,U.S. (Western Region) 美国西部,1,Manual western ZIP region alias,美国和波多黎各,US_PR,0.0,1.8,OK
US Western,us western,U.S. (Western Region) 美国西部,1,Manual western ZIP region alias,美国和波多黎各,US_PR,0.0,1.8,OK
美国西部,美国西部,U.S. (Western Region) 美国西部,1,Manual western ZIP region alias,美国和波多黎各,US_PR,0.0,1.8,OK
美国西部地区,美国西部地区,U.S. (Western Region) 美国西部,1,Manual western ZIP region alias,美国和波多黎各,US_PR,0.0,1.8,OK
UK,uk,United Kingdom (Great Britain),K,Manual common alias,欧洲区,EUROPE,8.0,1.8,OK
英国,英国,United Kingdom (Great Britain),K,Manual common alias,欧洲区,EUROPE,8.0,1.8,OK
Great Britain,great britain,United Kingdom (Great Britain),K,Manual common alias,欧洲区,EUROPE,8.0,1.8,OK
Philippines,philippines,Phillipines,S,Manual spelling alias for PDF label Phillipines,亚洲区,ASIA,0.0,1.8,OK
菲律宾,菲律宾,Phillipines,S,Manual Chinese alias for PDF label Phillipines,亚洲区,ASIA,0.0,1.8,OK
Afghanistan (阿富汗),afghanistan (阿富汗),Afghanistan 阿富汗,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Afghanistan,afghanistan,Afghanistan 阿富汗,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
阿富汗,阿富汗,Afghanistan 阿富汗,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Afghanistan 阿富汗,afghanistan 阿富汗,Afghanistan 阿富汗,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Albania (阿尔巴尼亚),albania (阿尔巴尼亚),Albania 阿尔巴尼亚,H,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Albania,albania,Albania 阿尔巴尼亚,H,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
阿尔巴尼亚,阿尔巴尼亚,Albania 阿尔巴尼亚,H,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Albania 阿尔巴尼亚,albania 阿尔巴尼亚,Albania 阿尔巴尼亚,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Algeria (阿尔及利亚),algeria (阿尔及利亚),Algeria 阿尔及利亚,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Algeria,algeria,Algeria 阿尔及利亚,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
阿尔及利亚,阿尔及利亚,Algeria 阿尔及利亚,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Algeria 阿尔及利亚,algeria 阿尔及利亚,Algeria 阿尔及利亚,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
American Samoa (美属萨摩亚岛),american samoa (美属萨摩亚岛),American Samoa 美属萨摩亚岛,G,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
American Samoa,american samoa,American Samoa 美属萨摩亚岛,G,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
美属萨摩亚岛,美属萨摩亚岛,American Samoa 美属萨摩亚岛,G,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
American Samoa 美属萨摩亚岛,american samoa 美属萨摩亚岛,American Samoa 美属萨摩亚岛,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Andorra (安道尔),andorra (安道尔),Andorra 安道尔,F,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Andorra,andorra,Andorra 安道尔,F,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
安道尔,安道尔,Andorra 安道尔,F,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Andorra 安道尔,andorra 安道尔,Andorra 安道尔,F,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Angola (安哥拉),angola (安哥拉),Angola 安哥拉,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Angola,angola,Angola 安哥拉,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
安哥拉,安哥拉,Angola 安哥拉,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Angola 安哥拉,angola 安哥拉,Angola 安哥拉,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Anguilla (安圭拉),anguilla (安圭拉),Anguilla 安圭拉,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Anguilla,anguilla,Anguilla 安圭拉,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
安圭拉,安圭拉,Anguilla 安圭拉,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Anguilla 安圭拉,anguilla 安圭拉,Anguilla 安圭拉,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Antigua & Barbuda,antigua & barbuda,Antigua & Barbuda,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
Argentina (阿根廷),argentina (阿根廷),Argentina 阿根廷,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Argentina,argentina,Argentina 阿根廷,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
阿根廷,阿根廷,Argentina 阿根廷,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Argentina 阿根廷,argentina 阿根廷,Argentina 阿根廷,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Armenia (亚美尼亚),armenia (亚美尼亚),Armenia 亚美尼亚,H,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Armenia,armenia,Armenia 亚美尼亚,H,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
亚美尼亚,亚美尼亚,Armenia 亚美尼亚,H,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Armenia 亚美尼亚,armenia 亚美尼亚,Armenia 亚美尼亚,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Aruba (阿鲁巴),aruba (阿鲁巴),Aruba 阿鲁巴,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Aruba,aruba,Aruba 阿鲁巴,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
阿鲁巴,阿鲁巴,Aruba 阿鲁巴,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Aruba 阿鲁巴,aruba 阿鲁巴,Aruba 阿鲁巴,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Australia (澳大利亚),australia (澳大利亚),Australia 澳大利亚,U,Dropdown display label,澳大利亚、新西兰,AUNZ,0.0,1.8,OK
Australia,australia,Australia 澳大利亚,U,From PDF country/region English label,澳大利亚、新西兰,AUNZ,0.0,1.8,OK
澳大利亚,澳大利亚,Australia 澳大利亚,U,From PDF country/region Chinese label,澳大利亚、新西兰,AUNZ,0.0,1.8,OK
Australia 澳大利亚,australia 澳大利亚,Australia 澳大利亚,U,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Austria (奥地利),austria (奥地利),Austria 奥地利,M,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Austria,austria,Austria 奥地利,M,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
奥地利,奥地利,Austria 奥地利,M,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Austria 奥地利,austria 奥地利,Austria 奥地利,M,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Azerbaijan (阿塞拜疆),azerbaijan (阿塞拜疆),Azerbaijan 阿塞拜疆,H,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Azerbaijan,azerbaijan,Azerbaijan 阿塞拜疆,H,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
阿塞拜疆,阿塞拜疆,Azerbaijan 阿塞拜疆,H,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Azerbaijan 阿塞拜疆,azerbaijan 阿塞拜疆,Azerbaijan 阿塞拜疆,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Bahama,bahama,Bahama,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
Bahrain (巴林),bahrain (巴林),Bahrain 巴林,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Bahrain,bahrain,Bahrain 巴林,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
巴林,巴林,Bahrain 巴林,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Bahrain 巴林,bahrain 巴林,Bahrain 巴林,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Bangladesh (孟加拉国),bangladesh (孟加拉国),Bangladesh 孟加拉国,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Bangladesh,bangladesh,Bangladesh 孟加拉国,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
孟加拉国,孟加拉国,Bangladesh 孟加拉国,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Bangladesh 孟加拉国,bangladesh 孟加拉国,Bangladesh 孟加拉国,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Barbados (巴巴多斯),barbados (巴巴多斯),Barbados 巴巴多斯,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Barbados,barbados,Barbados 巴巴多斯,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
巴巴多斯,巴巴多斯,Barbados 巴巴多斯,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Barbados 巴巴多斯,barbados 巴巴多斯,Barbados 巴巴多斯,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Belarus (白俄罗斯),belarus (白俄罗斯),Belarus 白俄罗斯,H,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Belarus,belarus,Belarus 白俄罗斯,H,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
白俄罗斯,白俄罗斯,Belarus 白俄罗斯,H,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Belarus 白俄罗斯,belarus 白俄罗斯,Belarus 白俄罗斯,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Belgium (比利时),belgium (比利时),Belgium 比利时,K,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Belgium,belgium,Belgium 比利时,K,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
比利时,比利时,Belgium 比利时,K,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Belgium 比利时,belgium 比利时,Belgium 比利时,K,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Belize (伯利兹),belize (伯利兹),Belize 伯利兹,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Belize,belize,Belize 伯利兹,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
伯利兹,伯利兹,Belize 伯利兹,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Belize 伯利兹,belize 伯利兹,Belize 伯利兹,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Benin (贝宁),benin (贝宁),Benin 贝宁,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Benin,benin,Benin 贝宁,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
贝宁,贝宁,Benin 贝宁,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Benin 贝宁,benin 贝宁,Benin 贝宁,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Bermuda (百慕大),bermuda (百慕大),Bermuda 百慕大,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Bermuda,bermuda,Bermuda 百慕大,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
百慕大,百慕大,Bermuda 百慕大,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Bermuda 百慕大,bermuda 百慕大,Bermuda 百慕大,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Bhutan (不丹),bhutan (不丹),Bhutan 不丹,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Bhutan,bhutan,Bhutan 不丹,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
不丹,不丹,Bhutan 不丹,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Bhutan 不丹,bhutan 不丹,Bhutan 不丹,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Bolivia (玻利维亚),bolivia (玻利维亚),Bolivia 玻利维亚,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Bolivia,bolivia,Bolivia 玻利维亚,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
玻利维亚,玻利维亚,Bolivia 玻利维亚,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Bolivia 玻利维亚,bolivia 玻利维亚,Bolivia 玻利维亚,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Bonaire (博奈尔),bonaire (博奈尔),Bonaire 博奈尔,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Bonaire,bonaire,Bonaire 博奈尔,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
博奈尔,博奈尔,Bonaire 博奈尔,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Bonaire 博奈尔,bonaire 博奈尔,Bonaire 博奈尔,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Bosnia-Herzegovina Bosnia- Herzegovina (波斯尼亚和黑塞哥维那),bosnia-herzegovina bosnia- herzegovina (波斯尼亚和黑塞哥维那),Bosnia-Herzegovina Bosnia- Herzegovina 波斯尼亚和黑塞哥维那,H,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Bosnia-Herzegovina Bosnia- Herzegovina,bosnia-herzegovina bosnia- herzegovina,Bosnia-Herzegovina Bosnia- Herzegovina 波斯尼亚和黑塞哥维那,H,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
波斯尼亚和黑塞哥维那,波斯尼亚和黑塞哥维那,Bosnia-Herzegovina Bosnia- Herzegovina 波斯尼亚和黑塞哥维那,H,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Bosnia-Herzegovina Bosnia- Herzegovina 波斯尼亚和黑塞哥维那,bosnia-herzegovina bosnia- herzegovina 波斯尼亚和黑塞哥维那,Bosnia-Herzegovina Bosnia- Herzegovina 波斯尼亚和黑塞哥维那,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Botswana (博茨瓦纳),botswana (博茨瓦纳),Botswana 博茨瓦纳,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Botswana,botswana,Botswana 博茨瓦纳,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
博茨瓦纳,博茨瓦纳,Botswana 博茨瓦纳,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Botswana 博茨瓦纳,botswana 博茨瓦纳,Botswana 博茨瓦纳,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Brazil (巴西),brazil (巴西),Brazil 巴西,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Brazil,brazil,Brazil 巴西,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
巴西,巴西,Brazil 巴西,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Brazil 巴西,brazil 巴西,Brazil 巴西,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
British Virgin Islands (英属维尔京群岛),british virgin islands (英属维尔京群岛),British Virgin Islands 英属维尔京群岛,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
British Virgin Islands,british virgin islands,British Virgin Islands 英属维尔京群岛,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
英属维尔京群岛,英属维尔京群岛,British Virgin Islands 英属维尔京群岛,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
British Virgin Islands 英属维尔京群岛,british virgin islands 英属维尔京群岛,British Virgin Islands 英属维尔京群岛,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Brunei (文莱),brunei (文莱),Brunei 文莱,E,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
Brunei,brunei,Brunei 文莱,E,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
文莱,文莱,Brunei 文莱,E,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
Brunei 文莱,brunei 文莱,Brunei 文莱,E,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Bulgaria (保加利亚),bulgaria (保加利亚),Bulgaria 保加利亚,F,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Bulgaria,bulgaria,Bulgaria 保加利亚,F,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
保加利亚,保加利亚,Bulgaria 保加利亚,F,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Bulgaria 保加利亚,bulgaria 保加利亚,Bulgaria 保加利亚,F,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Burkina Faso (布基纳法索),burkina faso (布基纳法索),Burkina Faso 布基纳法索,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Burkina Faso,burkina faso,Burkina Faso 布基纳法索,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
布基纳法索,布基纳法索,Burkina Faso 布基纳法索,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Burkina Faso 布基纳法索,burkina faso 布基纳法索,Burkina Faso 布基纳法索,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Burundi (布隆迪),burundi (布隆迪),Burundi 布隆迪,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Burundi,burundi,Burundi 布隆迪,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
布隆迪,布隆迪,Burundi 布隆迪,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Burundi 布隆迪,burundi 布隆迪,Burundi 布隆迪,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Cambodia (柬埔寨),cambodia (柬埔寨),Cambodia 柬埔寨,E,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
Cambodia,cambodia,Cambodia 柬埔寨,E,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
柬埔寨,柬埔寨,Cambodia 柬埔寨,E,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
Cambodia 柬埔寨,cambodia 柬埔寨,Cambodia 柬埔寨,E,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Cameroon (喀麦隆),cameroon (喀麦隆),Cameroon 喀麦隆,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Cameroon,cameroon,Cameroon 喀麦隆,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
喀麦隆,喀麦隆,Cameroon 喀麦隆,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Cameroon 喀麦隆,cameroon 喀麦隆,Cameroon 喀麦隆,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Canada (加拿大),canada (加拿大),Canada 加拿大,N,Dropdown display label,加拿大,CANADA,0.0,1.8,OK
Canada,canada,Canada 加拿大,N,From PDF country/region English label,加拿大,CANADA,0.0,1.8,OK
加拿大,加拿大,Canada 加拿大,N,From PDF country/region Chinese label,加拿大,CANADA,0.0,1.8,OK
Canada 加拿大,canada 加拿大,Canada 加拿大,N,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Cape Verde (佛得角),cape verde (佛得角),Cape Verde 佛得角,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Cape Verde,cape verde,Cape Verde 佛得角,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
佛得角,佛得角,Cape Verde 佛得角,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Cape Verde 佛得角,cape verde 佛得角,Cape Verde 佛得角,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
