alias,alias_normalized,canonical_country_region,ip_zone,match_note,demand_region_cn,demand_region_code,demand_rate_cny_per_kg,demand_minimum_cny,demand_review_status
Cayman Islands (开曼群岛),cayman islands (开曼群岛),Cayman Islands 开曼群岛,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Cayman Islands,cayman islands,Cayman Islands 开曼群岛,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
开曼群岛,开曼群岛,Cayman Islands 开曼群岛,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Cayman Islands 开曼群岛,cayman islands 开曼群岛,Cayman Islands 开曼群岛,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Chad (乍得),chad (乍得),Chad 乍得,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Chad,chad,Chad 乍得,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
乍得,乍得,Chad 乍得,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Chad 乍得,chad 乍得,Chad 乍得,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Chile (智利),chile (智利),Chile 智利,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Chile,chile,Chile 智利,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
智利,智利,Chile 智利,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Chile 智利,chile 智利,Chile 智利,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Colombia (哥伦比亚),colombia (哥伦比亚),Colombia 哥伦比亚,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Colombia,colombia,Colombia 哥伦比亚,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
哥伦比亚,哥伦比亚,Colombia 哥伦比亚,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Colombia 哥伦比亚,colombia 哥伦比亚,Colombia 哥伦比亚,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Congo (刚果),congo (刚果),Congo 刚果,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Congo,congo,Congo 刚果,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
刚果,刚果,Congo 刚果,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Congo 刚果,congo 刚果,Congo 刚果,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Cook Islands (库克群岛),cook islands (库克群岛),Cook Islands 库克群岛,G,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
Cook Islands,cook islands,Cook Islands 库克群岛,G,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
库克群岛,库克群岛,Cook Islands 库克群岛,G,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
Cook Islands 库克群岛,cook islands 库克群岛,Cook Islands 库克群岛,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Costa Rica (哥斯达黎加),costa rica (哥斯达黎加),Costa Rica 哥斯达黎加,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Costa Rica,costa rica,Costa Rica 哥斯达黎加,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
哥斯达黎加,哥斯达黎加,Costa Rica 哥斯达黎加,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Costa Rica 哥斯达黎加,costa rica 哥斯达黎加,Costa Rica 哥斯达黎加,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Croatia (克罗地亚),croatia (克罗地亚),Croatia 克罗地亚,F,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Croatia,croatia,Croatia 克罗地亚,F,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
克罗地亚,克罗地亚,Croatia 克罗地亚,F,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Croatia 克罗地亚,croatia 克罗地亚,Croatia 克罗地亚,F,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Curacao (库拉索),curacao (库拉索),Curacao 库拉索,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Curacao,curacao,Curacao 库拉索,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
库拉索,库拉索,Curacao 库拉索,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Curacao 库拉索,curacao 库拉索,Curacao 库拉索,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Cyprus (塞浦路斯),cyprus (塞浦路斯),Cyprus 塞浦路斯,F,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Cyprus,cyprus,Cyprus 塞浦路斯,F,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
塞浦路斯,塞浦路斯,Cyprus 塞浦路斯,F,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Cyprus 塞浦路斯,cyprus 塞浦路斯,Cyprus 塞浦路斯,F,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Czech Republic (捷克共和国),czech republic (捷克共和国),Czech Republic 捷克共和国,F,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Czech Republic,czech republic,Czech Republic 捷克共和国,F,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
捷克共和国,捷克共和国,Czech Republic 捷克共和国,F,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Czech Republic 捷克共和国,czech republic 捷克共和国,Czech Republic 捷克共和国,F,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Côte D'ivoire (Ivory Coast),côte d'ivoire (ivory coast),Côte D'ivoire (Ivory Coast),H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Côte D'ivoire,côte d'ivoire,Côte D'ivoire (Ivory Coast),H,English label without parenthetical,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Democratic Republic of the Congo (刚果民主共和国),democratic republic of the congo (刚果民主共和国),Democratic Republic of the Congo 刚果民主共和国,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Democratic Republic of the Congo,democratic republic of the congo,Democratic Republic of the Congo 刚果民主共和国,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
刚果民主共和国,刚果民主共和国,Democratic Republic of the Congo 刚果民主共和国,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Democratic Republic of the Congo 刚果民主共和国,democratic republic of the congo 刚果民主共和国,Democratic Republic of the Congo 刚果民主共和国,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Denmark (丹麦),denmark (丹麦),Denmark 丹麦,M,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Denmark,denmark,Denmark 丹麦,M,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
丹麦,丹麦,Denmark 丹麦,M,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Denmark 丹麦,denmark 丹麦,Denmark 丹麦,M,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Djibouti (吉布提),djibouti (吉布提),Djibouti 吉布提,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Djibouti,djibouti,Djibouti 吉布提,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
吉布提,吉布提,Djibouti 吉布提,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Djibouti 吉布提,djibouti 吉布提,Djibouti 吉布提,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Dominica (多米尼加),dominica (多米尼加),Dominica 多米尼加,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Dominica,dominica,Dominica 多米尼加,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
多米尼加,多米尼加,Dominica 多米尼加,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Dominica 多米尼加,dominica 多米尼加,Dominica 多米尼加,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Dominican Republic (多米尼加共和国),dominican republic (多米尼加共和国),Dominican Republic 多米尼加共和国,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Dominican Republic,dominican republic,Dominican Republic 多米尼加共和国,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
多米尼加共和国,多米尼加共和国,Dominican Republic 多米尼加共和国,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Dominican Republic 多米尼加共和国,dominican republic 多米尼加共和国,Dominican Republic 多米尼加共和国,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
East Timor,east timor,East Timor,G,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
Ecuador (厄瓜多尔),ecuador (厄瓜多尔),Ecuador 厄瓜多尔,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Ecuador,ecuador,Ecuador 厄瓜多尔,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
厄瓜多尔,厄瓜多尔,Ecuador 厄瓜多尔,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Ecuador 厄瓜多尔,ecuador 厄瓜多尔,Ecuador 厄瓜多尔,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Egypt (埃及),egypt (埃及),Egypt 埃及,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Egypt,egypt,Egypt 埃及,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
埃及,埃及,Egypt 埃及,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Egypt 埃及,egypt 埃及,Egypt 埃及,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
El Salvador (萨尔瓦多),el salvador (萨尔瓦多),El Salvador 萨尔瓦多,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
El Salvador,el salvador,El Salvador 萨尔瓦多,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
萨尔瓦多,萨尔瓦多,El Salvador 萨尔瓦多,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
El Salvador 萨尔瓦多,el salvador 萨尔瓦多,El Salvador 萨尔瓦多,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Eritrea (厄立特里亚),eritrea (厄立特里亚),Eritrea 厄立特里亚,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Eritrea,eritrea,Eritrea 厄立特里亚,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
厄立特里亚,厄立特里亚,Eritrea 厄立特里亚,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Eritrea 厄立特里亚,eritrea 厄立特里亚,Eritrea 厄立特里亚,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Estonia (爱沙尼亚),estonia (爱沙尼亚),Estonia 爱沙尼亚,F,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Estonia,estonia,Estonia 爱沙尼亚,F,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
爱沙尼亚,爱沙尼亚,Estonia 爱沙尼亚,F,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Estonia 爱沙尼亚,estonia 爱沙尼亚,Estonia 爱沙尼亚,F,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Ethiopia (埃塞俄比亚),ethiopia (埃塞俄比亚),Ethiopia 埃塞俄比亚,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Ethiopia,ethiopia,Ethiopia 埃塞俄比亚,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
埃塞俄比亚,埃塞俄比亚,Ethiopia 埃塞俄比亚,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Ethiopia 埃塞俄比亚,ethiopia 埃塞俄比亚,Ethiopia 埃塞俄比亚,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Faeroe Islands (法罗群岛),faeroe islands (法罗群岛),Faeroe Islands 法罗群岛,F,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Faeroe Islands,faeroe islands,Faeroe Islands 法罗群岛,F,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
法罗群岛,法罗群岛,Faeroe Islands 法罗群岛,F,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Faeroe Islands 法罗群岛,faeroe islands 法罗群岛,Faeroe Islands 法罗群岛,F,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Fiji (斐济),fiji (斐济),Fiji 斐济,G,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
Fiji,fiji,Fiji 斐济,G,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
斐济,斐济,Fiji 斐济,G,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
Fiji 斐济,fiji 斐济,Fiji 斐济,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Finland (芬兰),finland (芬兰),Finland 芬兰,M,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Finland,finland,Finland 芬兰,M,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
芬兰,芬兰,Finland 芬兰,M,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Finland 芬兰,finland 芬兰,Finland 芬兰,M,From PDF combined label,Need Review,Need Review,,1.8,Need Review
France (法国),france (法国),France 法国,K,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
France,france,France 法国,K,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
法国,法国,France 法国,K,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
France 法国,france 法国,France 法国,K,From PDF combined label,Need Review,Need Review,,1.8,Need Review
French Guiana (法属圭亚纳),french guiana (法属圭亚纳),French Guiana 法属圭亚纳,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
French Guiana,french guiana,French Guiana 法属圭亚纳,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
法属圭亚纳,法属圭亚纳,French Guiana 法属圭亚纳,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
French Guiana 法属圭亚纳,french guiana 法属圭亚纳,French Guiana 法属圭亚纳,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
French Polynesia (法属玻利尼西亚),french polynesia (法属玻利尼西亚),French Polynesia 法属玻利尼西亚,G,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
French Polynesia,french polynesia,French Polynesia 法属玻利尼西亚,G,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
法属玻利尼西亚,法属玻利尼西亚,French Polynesia 法属玻利尼西亚,G,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
French Polynesia 法属玻利尼西亚,french polynesia 法属玻利尼西亚,French Polynesia 法属玻利尼西亚,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Gabon (加蓬),gabon (加蓬),Gabon 加蓬,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Gabon,gabon,Gabon 加蓬,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
加蓬,加蓬,Gabon 加蓬,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Gabon 加蓬,gabon 加蓬,Gabon 加蓬,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Gambia (冈比亚),gambia (冈比亚),Gambia 冈比亚,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Gambia,gambia,Gambia 冈比亚,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
冈比亚,冈比亚,Gambia 冈比亚,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Gambia 冈比亚,gambia 冈比亚,Gambia 冈比亚,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Georgia (格鲁吉亚),georgia (格鲁吉亚),Georgia 格鲁吉亚,H,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Georgia,georgia,Georgia 格鲁吉亚,H,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
格鲁吉亚,格鲁吉亚,Georgia 格鲁吉亚,H,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Georgia 格鲁吉亚,georgia 格鲁吉亚,Georgia 格鲁吉亚,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Germany (德国),germany (德国),Germany 德国,K,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Germany,germany,Germany 德国,K,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
德国,德国,Germany 德国,K,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Germany 德国,germany 德国,Germany 德国,K,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Ghana (加纳),ghana (加纳),Ghana 加纳,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Ghana,ghana,Ghana 加纳,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
加纳,加纳,Ghana 加纳,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Ghana 加纳,ghana 加纳,Ghana 加纳,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Gibraltar (直布罗陀),gibraltar (直布罗陀),Gibraltar 直布罗陀,H,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Gibraltar,gibraltar,Gibraltar 直布罗陀,H,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
直布罗陀,直布罗陀,Gibraltar 直布罗陀,H,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Gibraltar 直布罗陀,gibraltar 直布罗陀,Gibraltar 直布罗陀,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Greece (希腊),greece (希腊),Greece 希腊,M,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Greece,greece,Greece 希腊,M,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
希腊,希腊,Greece 希腊,M,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Greece 希腊,greece 希腊,Greece 希腊,M,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Greenland (格陵兰),greenland (格陵兰),Greenland 格陵兰,F,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Greenland,greenland,Greenland 格陵兰,F,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
格陵兰,格陵兰,Greenland 格陵兰,F,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Greenland 格陵兰,greenland 格陵兰,Greenland 格陵兰,F,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Grenada,grenada,Grenada,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
Guadeloupe,guadeloupe,Guadeloupe,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
Guam (关岛),guam (关岛),Guam 关岛,E,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
Guam,guam,Guam 关岛,E,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
关岛,关岛,Guam 关岛,E,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
Guam 关岛,guam 关岛,Guam 关岛,E,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Guatemala (危地马拉),guatemala (危地马拉),Guatemala 危地马拉,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Guatemala,guatemala,Guatemala 危地马拉,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
危地马拉,危地马拉,Guatemala 危地马拉,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Guatemala 危地马拉,guatemala 危地马拉,Guatemala 危地马拉,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Guinea (几内亚),guinea (几内亚),Guinea 几内亚,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Guinea,guinea,Guinea 几内亚,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
几内亚,几内亚,Guinea 几内亚,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Guinea 几内亚,guinea 几内亚,Guinea 几内亚,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Guyana (圭亚那),guyana (圭亚那),Guyana 圭亚那,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Guyana,guyana,Guyana 圭亚那,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
圭亚那,圭亚那,Guyana 圭亚那,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Guyana 圭亚那,guyana 圭亚那,Guyana 圭亚那,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Haiti (海地),haiti (海地),Haiti 海地,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Haiti,haiti,Haiti 海地,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
海地,海地,Haiti 海地,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Haiti 海地,haiti 海地,Haiti 海地,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Honduras (洪都拉斯),honduras (洪都拉斯),Honduras 洪都拉斯,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Honduras,honduras,Honduras 洪都拉斯,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
